image_path,label
images/33621.jpg,Oil
images/34854.jpg,Oil
images/35209.jpg,Oil
images/36613.jpg,Oil
images/37674.jpg,Shingles
images/38561.jpg,Oil
images/78283.jpg,Dyed
images/78294.jpg,Oil
images/78296.jpg,Oil
images/78299.jpg,Oil
images/78301.jpg,Oil
images/78302.jpg,Oil
images/78305.jpg,Oil
images/78306.jpg,Oil
images/78308.jpg,Egg
images/78309.jpg,Oil
images/78310.jpg,Oil
images/78311.jpg,Oil
images/78313.jpg,Pigment
images/78315.jpg,Oil
images/78316.jpg,Oil
images/78318.jpg,Oil
images/78319.jpg,Oil
images/78320.jpg,Oil
images/78322.jpg,Gesso
images/78323.jpg,Oil
images/78325.jpg,Oil
images/78326.jpg,Color
images/78327.jpg,Casein
images/78329.jpg,Oilstick
images/78330.jpg,Oil
images/78331.jpg,Oil
images/78332.jpg,Oil
images/78333.jpg,Oil
images/78335.jpg,Oil
images/78339.jpg,Synthetic
images/78340.jpg,Oil
images/78345.jpg,Enamel
images/78346.jpg,Oil
images/78347.jpg,Oil
images/78348.jpg,Oil
images/78357.jpg,Casein
images/78358.jpg,Oil
images/78360.jpg,Oil
images/78361.jpg,Oil
images/78362.jpg,Synthetic
images/78363.jpg,Oil-based
images/78364.jpg,Kaolin
images/78365.jpg,Tempera
images/78366.jpg,Oil
images/78367.jpg,Oil
images/78368.jpg,Oil
images/78370.jpg,Oil
images/78371.jpg,Oil
images/78373.jpg,Oil
images/78374.jpg,Oli
images/78375.jpg,Oil
images/78376.jpg,Oil
images/78377.jpg,Synthetic
images/78379.jpg,Oil
images/78380.jpg,Oil
images/78381.jpg,Oil
images/78382.jpg,Oil
images/78383.jpg,Oil
images/78385.jpg,Oil
images/78386.jpg,Oil
images/78387.jpg,Oil
images/78389.jpg,Oil
images/78392.jpg,Oil
images/78393.jpg,Encaustic
images/78396.jpg,Synthetic
images/78397.jpg,Oil
images/78398.jpg,Plaster
images/78399.jpg,Oil
images/78401.jpg,Encaustic
images/78402.jpg,Oil
images/78403.jpg,Oil
images/78406.jpg,Oil
images/78407.jpg,Oil
images/78409.jpg,Oil
images/78411.jpg,Oil
images/78412.jpg,Encaustic
images/78414.jpg,Oil
images/78417.jpg,Oil
images/78419.jpg,Oil
images/78420.jpg,Oil
images/78421.jpg,Oil
images/78423.jpg,Oil
images/78424.jpg,Oil
images/78425.jpg,Oil
images/78426.jpg,Oil
images/78427.jpg,Oil
images/78428.jpg,Oil
images/78432.jpg,Oil
images/78433.jpg,Oil
images/78435.jpg,Latex
images/78436.jpg,Oil
images/78438.jpg,Oil
images/78441.jpg,Oil
images/78442.jpg,Oil
images/78443.jpg,Oil
